DraftYr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,IDs
2008-09,1,CHI,Derrick Rose,University of Memphis,9,477,16480,9255,1753,2811,.451,.297,.821,34.5,19.4,3.7,5.9,34.3,.100,0.5,10.3,201565
2008-09,2,MIA,Michael Beasley,Kansas State University,10,538,12493,6733,2516,675,.461,.346,.756,23.2,12.5,4.7,1.3,13.4,.052,-3.4,-4.5,201563
2008-09,3,MIN,O.J. Mayo,University of Southern California,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.8,5.1,201564
2008-09,4,SEA,Russell Westbrook,"University of California, Los Angeles",10,703,24055,15997,4476,5643,.432,.313,.818,34.2,22.8,6.4,8.0,84.3,.168,6.5,51.7,201566
2008-09,5,MEM,Kevin Love,"University of California, Los Angeles",10,610,19781,11279,6959,1431,.444,.368,.823,32.4,18.5,11.4,2.3,75.2,.182,2.9,24.4,201567
2008-09,6,NYK,Danilo Gallinari,,9,471,14671,7200,2199,927,.418,.367,.864,31.1,15.3,4.7,2.0,41.2,.135,1.0,10.9,201568
2008-09,7,LAC,Eric Gordon,Indiana University,10,523,17472,8760,1316,1623,.430,.377,.817,33.4,16.7,2.5,3.1,28.3,.078,-0.7,5.6,201569
2008-09,8,MIL,Joe Alexander,West Virginia University,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.3,-0.2,201570
2008-09,9,CHA,D.J. Augustin,University of Texas at Austin,10,680,16002,6461,1206,2580,.403,.372,.862,23.5,9.5,1.8,3.8,32.0,.096,-1.7,1.2,201571
2008-09,10,NJN,Brook Lopez,Stanford University,10,590,18745,10802,4124,915,.503,.321,.793,31.8,18.3,7.0,1.6,50.8,.130,0.9,13.6,201572
2008-09,11,IND,Jerryd Bayless,University of Arizona,10,541,11630,4641,1157,1543,.414,.366,.824,21.5,8.6,2.1,2.9,18.3,.076,-1.8,0.6,201573
2008-09,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-1.7,1.3,201574
2008-09,13,POR,Brandon Rush,University of Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.7,0.7,201575
2008-09,14,GSW,Anthony Randolph,Louisiana State University,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-2.1,-0.1,201576
2008-09,15,PHO,Robin Lopez,Stanford University,10,662,15350,5919,3650,502,.525,.154,.760,23.2,8.9,5.5,0.8,39.8,.124,0.4,9.1,201577
2008-09,16,PHI,Marreese Speights,University of Florida,10,680,10299,5384,2803,436,.460,.349,.797,15.1,7.9,4.1,0.6,25.1,.117,-2.9,-2.3,201578
2008-09,17,TOR,Roy Hibbert,Georgetown University,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,0.2,9.1,201579
2008-09,18,WAS,JaVale McGee,"University of Nevada, Reno",10,522,8948,3976,2539,170,.556,.077,.578,17.1,7.6,4.9,0.3,24.3,.130,-0.6,3.2,201580
2008-09,19,CLE,J.J. Hickson,North Carolina State University,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-2.3,-0.9,201581
2008-09,20,CHA,Alexis Ajinca,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.5,-0.5,201582
2009-10,1,LAC,Blake Griffin,University of Oklahoma,8,490,17247,10565,4574,2050,.513,.315,.678,35.2,21.6,9.3,4.2,64.2,.179,4.0,26.4,201933
2009-10,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-1.4,0.4,201934
2009-10,3,OKC,James Harden,Arizona State University,9,648,21889,14690,3265,3830,.443,.366,.855,33.8,22.7,5.0,5.9,99.1,.217,6.2,45.5,201935
2009-10,4,SAC,Tyreke Evans,University of Memphis,9,507,16280,8289,2427,2567,.445,.312,.760,32.1,16.3,4.8,5.1,27.4,.081,1.1,12.6,201936
2009-10,5,MIN,Ricky Rubio,,7,388,12233,4049,1632,3158,.377,.310,.834,31.5,10.4,4.2,8.1,23.8,.093,1.1,9.4,201937
