GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
By Year,2008-09,1610612741,CHI,2009-04-15T00:00:00,81,40,41,0.494,37.0,7.1,14.9,0.475,0.2,0.9,0.222,2.4,3.1,0.788,1.2,2.7,3.9,6.3,2.5,0.8,0.2,1.1,1.5,2.8,16.8,-1.5,31.6,8,0,1,3,1,7,2,5,8,2,9,8,8,8,7,8,1,4,2,3,8,3,6,6,3,5,6,5,4,3,2,264,2008-09
By Year,2008-09,1610612748,MIA,2009-04-15T00:00:00,81,43,38,0.531,24.8,5.6,11.8,0.472,0.4,1.0,0.407,2.3,3.0,0.772,1.4,4.1,5.4,1.0,1.5,0.5,0.5,0.9,2.3,2.1,13.9,0.1,23.3,8,0,1,2,3,3,3,3,3,5,4,6,2,3,3,4,4,2,3,6,7,5,5,2,4,3,3,3,3,2,1,264,2008-09
By Year,2008-09,1610612763,MEM,2009-04-15T00:00:00,82,24,58,0.293,38.1,6.9,15.6,0.438,1.8,4.6,0.384,3.0,3.4,0.879,0.7,3.1,3.8,3.2,2.8,1.1,0.2,0.9,2.5,2.7,18.5,-5.1,28.8,2,0,1,6,1,7,1,1,1,3,1,1,2,1,1,1,2,2,2,2,1,4,8,1,2,1,1,7,1,1,1,264,2008-09
By Year,2008-09,1610612760,OKC,2009-04-15T00:00:00,82,23,59,0.28,32.5,5.3,13.4,0.398,0.4,1.6,0.271,4.3,5.2,0.815,2.2,2.7,4.9,5.3,3.3,1.3,0.2,1.1,2.3,3.9,15.3,-3.3,30.4,10,1,1,9,1,10,9,10,10,10,8,8,9,9,9,6,1,10,8,10,8,9,8,7,7,10,10,10,10,9,7,264,2008-09
By Year,2008-09,1610612750,MIN,2009-04-15T00:00:00,81,24,57,0.296,25.3,3.9,8.5,0.459,0.0,0.2,0.105,3.3,4.1,0.789,3.4,5.7,9.1,1.0,1.5,0.4,0.6,1.0,2.5,3.3,11.1,-3.3,25.2,29,0,1,5,1,8,10,10,10,3,10,10,10,10,9,9,5,10,10,10,10,10,1,7,2,10,10,8,10,8,2,264,2008-09
By Year,2008-09,1610612752,NYK,2009-03-15T00:00:00,28,14,14,0.5,14.7,2.0,4.5,0.448,1.1,2.6,0.444,0.9,1.0,0.963,0.5,1.5,2.0,0.5,0.5,0.5,0.1,0.2,1.7,1.3,6.1,1.8,10.6,0,0,8,8,8,6,10,10,10,1,10,10,1,10,10,2,9,10,10,10,10,10,10,10,6,10,10,6,10,7,1,264,2008-09
By Year,2008-09,1610612746,LAC,2009-04-15T00:00:00,78,19,59,0.244,34.3,5.3,11.6,0.456,1.7,4.3,0.389,3.8,4.5,0.854,0.6,2.0,2.6,2.8,2.1,1.0,0.4,0.8,2.2,3.9,16.1,-5.9,25.5,0,0,1,7,1,10,4,8,9,1,7,8,3,4,5,2,2,7,7,7,6,6,2,6,3,4,7,10,5,3,1,264,2008-09
By Year,2008-09,1610612749,MIL,2009-04-15T00:00:00,59,23,36,0.39,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.0,1.4,0.699,0.7,1.2,1.9,0.7,0.9,0.3,0.5,0.3,1.8,1.1,4.7,-0.5,9.5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2008-09
By Year,2008-09,1610612766,CHA,2009-04-15T00:00:00,72,30,42,0.417,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.9,3.2,0.893,0.2,1.6,1.8,3.5,1.7,0.6,0.0,0.8,1.9,2.4,11.8,-0.5,19.4,1,0,5,5,3,7,4,4,4,3,3,7,1,3,4,3,7,6,7,6,6,7,9,4,2,5,3,6,6,6,1,264,2008-09
By Year,2008-09,1610612751,NJN,2009-04-15T00:00:00,82,34,48,0.415,30.5,5.5,10.3,0.531,0.0,0.0,0.0,2.1,2.6,0.793,2.7,5.4,8.1,1.0,1.8,0.5,1.8,0.9,3.1,2.3,13.0,-1.3,29.7,18,0,1,2,5,3,5,9,10,2,5,6,5,9,9,5,5,1,2,7,5,5,2,5,1,10,9,4,8,3,1,264,2008-09
By Year,2008-09,1610612757,POR,2009-04-15T00:00:00,53,34,19,0.642,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.6,1.9,0.806,0.2,0.9,1.1,1.5,1.1,0.3,0.0,0.5,1.5,1.5,4.3,-0.5,7.8,0,0,5,4,8,3,12,12,12,10,12,12,11,6,5,7,12,12,12,12,11,10,11,6,10,8,12,6,12,4,1,264,2008-09
By Year,2008-09,1610612758,SAC,2009-04-15T00:00:00,82,17,65,0.207,28.1,4.3,8.7,0.497,0.0,0.1,0.0,2.4,3.5,0.692,2.9,4.5,7.4,1.1,1.8,0.6,0.7,0.9,3.8,2.9,11.1,-3.5,23.7,17,0,1,8,1,9,2,3,3,5,3,3,3,2,2,4,2,5,2,4,2,3,3,1,1,2,2,9,2,2,1,264,2008-09
By Year,2008-09,1610612754,IND,2009-04-15T00:00:00,75,33,42,0.44,24.0,3.2,7.7,0.423,1.0,2.8,0.373,0.6,0.9,0.697,0.5,2.7,3.1,0.9,1.0,0.5,0.5,0.5,1.7,0.9,8.1,-2.4,15.2,2,0,2,2,2,4,4,3,3,5,4,4,6,5,5,4,4,4,4,6,5,4,4,3,3,5,4,5,4,2,1,264,2008-09
By Year,2008-09,1610612744,GSW,2009-04-15T00:00:00,63,21,42,0.333,17.9,3.2,6.8,0.462,0.0,0.1,0.0,1.6,2.2,0.716,2.0,3.7,5.8,0.8,1.3,0.7,1.2,0.6,2.2,1.9,7.9,-1.5,20.3,8,0,1,2,1,4,3,3,3,4,4,5,4,4,4,4,2,3,2,3,3,3,2,3,2,3,3,3,3,1,1,264,2008-09
By Year,2008-09,1610612756,PHX,2009-04-15T00:00:00,60,32,28,0.533,10.2,1.2,2.3,0.518,0.0,0.0,0.0,0.8,1.1,0.691,0.9,1.1,2.0,0.1,0.5,0.2,0.7,0.2,1.6,0.8,3.2,-1.0,7.8,0,0,7,5,6,4,10,10,10,7,2,4,2,10,10,10,10,10,10,9,10,10,9,10,10,10,10,7,10,9,1,264,2008-09
By Year,2008-09,1610612755,PHI,2009-04-15T00:00:00,79,41,38,0.519,16.0,3.2,6.4,0.502,0.0,0.1,0.25,1.3,1.7,0.773,1.6,2.2,3.7,0.4,0.6,0.3,0.7,0.4,2.3,1.4,7.7,-1.0,15.3,1,0,2,5,1,7,4,5,7,1,8,8,7,8,7,6,4,10,7,11,11,4,1,5,5,9,6,6,6,6,1,264,2008-09
By Year,2008-09,1610612754,IND,2009-04-15T00:00:00,70,29,41,0.414,14.4,2.8,6.0,0.471,0.0,0.0,0.0,1.4,2.1,0.667,1.6,1.8,3.5,0.7,0.8,0.3,1.1,0.7,3.1,1.9,7.1,-0.9,15.6,0,0,7,7,5,8,9,7,7,5,4,8,4,9,7,9,7,9,9,8,8,7,8,5,6,7,7,8,8,9,2,264,2008-09
By Year,2008-09,1610612764,WAS,2009-04-15T00:00:00,75,17,58,0.227,15.2,2.5,5.2,0.494,0.0,0.0,0.0,1.4,2.2,0.66,1.6,2.3,3.9,0.3,0.8,0.4,1.0,0.5,2.1,1.7,6.5,-3.9,15.2,4,0,4,5,1,9,7,8,6,10,2,7,2,2,5,4,6,7,6,6,8,4,8,4,6,4,6,10,6,4,2,264,2008-09
By Year,2008-09,1610612739,CLE,2009-04-05T00:00:00,62,49,13,0.79,11.4,1.6,3.1,0.515,0.0,0.0,0.0,0.7,1.1,0.672,0.8,1.8,2.7,0.1,0.7,0.2,0.5,0.5,1.3,0.7,4.0,-1.7,8.8,0,0,6,2,7,1,9,10,9,5,1,9,1,10,10,4,10,10,10,10,9,10,7,8,8,10,10,3,10,9,1,264,2008-09
By Year,2008-09,1610612766,CHA,2009-03-03T00:00:00,31,11,20,0.355,5.9,0.8,2.2,0.362,0.0,0.1,0.0,0.6,0.9,0.714,0.3,0.7,1.0,0.1,0.4,0.2,0.2,0.2,1.1,0.6,2.3,0.2,4.4,0,0,5,5,6,4,7,8,7,8,3,4,3,5,5,6,7,7,7,7,6,7,7,7,7,7,7,3,7,5,1,264,2008-09
