permno,date,nameendt,exchcd,ncusip,ticker,comnam,tsymbol,trdstat,secstat,permco,hsiccd,cusip,dlstcd,hsicmg,hsicig,acperm,accomp
81745,11/30/1972,,,,,,,,,5017,3825,94402010,,,,,
92314,5/29/2009,,3,M9893910,SMLC,012 SMILE COMMUNICATIONS LTD,SMLC,A,R,52782,4899,M1562910,,48,489,,
83546,12/31/2001,,3,68231A10,ATTY,1 800 ATTORNEY INC,ATTY,A,R,14637,2741,68231A20,,,,,
85814,8/31/2007,,3,68197710,CTAC,1 800 CONTACTS INC,CTAC,A,R,15959,5961,68197710,,,,,
87162,9/30/2004,,3,68243Q10,FLWS,1 800 FLOWERS COM INC,FLWS,A,R,16695,5990,68243Q10,,,,,
59636,4/30/1984,,3,68241010,SPUD,1 POTATO 2 INC,SPUD,A,R,6134,5812,68241010,,,,,
77594,1/31/1979,,3,90119110,TTFC,1225 MAPLE CORP,,A,R,4588,3944,90119110,,,,,
14877,12/31/2014,,3,68245V10,TFSC,1347 CAPITAL CORP,TFSC,A,R,54976,9999,53263P10,,,,,
14607,1/30/2015,,3,68244P10,PIH,1347 PROPERTY INSURANCE HLDS INC,PIH,A,R,54828,9999,68244P10,,,,,
71862,3/31/2017,12/29/2017,3,68235B10,TURN,180 DEGREE CAPITAL CORP,TURN,A,R,5860,6799,68235B10,,,,,
54228,10/31/1989,,1,28252010,BDF,1838 BOND DEBENTURE TRADING FUND,,A,R,20601,6726,45781W10,,,,,
75974,12/31/1993,,3,31867L10,FBCV,1ST BANCORP,FBCV,A,R,10281,6710,31867L10,,,,,
83372,8/29/1997,,3,31891510,FBER,1ST BERGEN BANCORP,FBER,A,R,14488,6710,31891510,,,,,
92870,7/31/2013,,3,31943X10,FCTY,1ST CENTURY BANKSHARES INC,FCTY,A,R,53112,6021,31943X10,,,,,
89270,11/29/2002,,3,31986N10,FCCY,1ST CONSTITUTION BANCORP,FCCY,A,R,42541,6022,31986N10,,,,,
82497,7/31/2007,,3,32053S10,FIFG,1ST INDEPENDENCE FNL GROUP INC,FIFG,A,R,14019,6030,32053S10,,,,,
76920,11/30/1993,,3,33564430,FNAT,1ST NATIONAL FILM CORP,FNAT,A,R,11051,7820,32094010,,,,,
92525,1/29/2010,,3,33589410,FPBN,1ST PACIFIC BANCORP CA,FPBN,A,R,52921,6022,33589410,,,,,
36346,1/31/1986,,3,33690110,SRCE,1ST SOURCE CORP,SRCE,A,R,6281,6020,33690110,,,,,
86826,7/30/1999,6/9/2004,3,33645S10,FSBC,1ST STATE BANCORP INC,FSBC,A,R,16491,6020,33645S10,,,,,
77891,8/31/1993,,3,33740710,FUBC,1ST UNITED BANCORP,FUBC,A,R,11698,6710,33740710,,,,,
93040,8/31/2010,,3,33740N10,FUBC,1ST UNITED BANCORP INC,FUBC,A,R,53220,6022,33740N10,,,,,
11321,6/28/1996,,3,33690910,WFSB,1ST WASHINGTON BANCORP INC,WFSB,A,R,9171,6710,33690910,,,,,
80162,9/29/1995,,3,90206510,TWOI,2 I INC,TWOI,A,R,12787,3320,90206510,,,,,
14554,10/31/2016,,3,90214J10,TWOU,2 U INC,TWOU,A,R,54796,9999,90214J10,,,,,
78807,10/29/1993,,1,90210610,TTR,2002 TARGET TERM TRUST INC,,A,R,29733,6726,90210610,,,,,
77658,8/31/1987,,3,90206410,TOOT,202 DATA SYS INC,TOOT,A,R,6070,7372,90206410,,,,,
92507,8/31/2009,,2,90212G10,TTY,2020 CHINACAP ACQUIRCO INC,TTY,A,R,52850,6799,G3233510,,,,,
78381,2/29/1984,,3,90120010,TWTHF,20TH CENTURY ENERGY CORP,TWTHF,A,R,4607,1310,90120010,,,,,
10119,3/31/1993,,1,90127220,TW,20TH CENTURY INDUSTRIES,,A,R,8064,6331,90130N10,,,,,
10119,4/28/1989,,3,90127220,TWEN,20TH CENTURY INDUSTRIES CA,TWEN,A,R,8064,6331,90130N10,,,,,
77650,10/31/1983,,3,90190110,TWFR,21ST CENTURY DISTRIBUTION CORP,TWFR,A,R,10406,7820,13775710,,,,,
75981,4/30/1990,,3,90131B10,TFFC,21ST CENTURY FILMS CORP,TFFC,A,R,10293,7810,90131B10,,,,,
86435,3/31/2006,,3,90136Q10,TCHC,21ST CENTURY HOLDING CO,TCHC,A,R,16310,6331,31422T10,,,,,
10119,2/28/2005,,1,90130N10,TW,21ST CENTURY INSURANCE GROUP,TW,A,R,8064,6331,90130N10,,,,,
77615,10/31/1985,,3,90131010,TROB,21ST CENTURY ROBOTICS,TROB,A,R,6423,3577,76126920,,,,,
12699,6/29/2012,,3,90138A10,VNET,21VIANET GROUP INC,VNET,A,R,53732,9999,90138A10,,,,,
14523,8/31/2017,,2,90137F10,XXII,22ND CENTURY GROUP INC,XXII,A,R,54774,8731,90137F10,,,,,
